X,Y,FID,OBJECTID,CITY_NAME,GMI_ADMIN,ADMIN_NAME,FIPS_CNTRY,CNTRY_NAME,STATUS,POP,POP_RANK,POP_CLASS,PORT_ID,LABEL_FLAG,POP_SOURCE
-8373254.9129168,4855420.34335005,1525,521,Philadelphia,USA-PEN,Pennsylvania,US,United States,Other,1584064,2,"1,000,000 to 4,999,999",8110,0,US_Census_2019
-7766983.02482384,5515253.41762642,1526,522,Augusta,USA-MAI,Maine,US,United States,Provincial capital,18697,7,"Less than 50,000",7120,0,US_Census_2019
-8079568.15898682,5506077.20527457,1527,523,Montpelier,USA-VRM,Vermont,US,United States,Provincial capital,7372,7,"Less than 50,000",0,0,US_Census_2019
-7964241.2746019,5343380.36073259,1528,524,Concord,USA-NHM,New Hampshire,US,United States,Provincial capital,43627,7,"Less than 50,000",0,0,US_Census_2019
-7915149.37351274,5217318.75757448,1529,525,Boston,USA-MSS,Massachusetts,US,United States,Provincial capital,692600,3,"500,000 to 999,999",7250,0,US_Census_2019
-7951105.69151743,5133456.57171992,1530,526,Providence,USA-RHI,Rhode Island,US,United States,Provincial capital,179883,5,"100,000 to 249,999",7420,0,US_Census_2019
-8093260.79152314,5125096.13604149,1531,527,Hartford,USA-CNN,Connecticut,US,United States,Provincial capital,122105,5,"100,000 to 249,999",0,0,US_Census_2019
-7447082.19312902,1175004.61270887,1532,528,Caracas,VEN-DFD,Distrito Federal,VE,Venezuela,National and provincial capital,2082130,2,"1,000,000 to 4,999,999",0,0,UN_Data_2010_2020
-7462858.72741943,1157569.02747022,1533,529,Los Teques,VEN-MRN,Miranda,VE,Venezuela,Provincial capital,216358,5,"100,000 to 249,999",0,0,UN_Data_2010_2020
-7201480.45484425,1133927.06145707,1534,530,Barcelona,VEN-ANZ,Anzoategui,VE,Venezuela,Provincial capital,0,0, ,0,0, 
